name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Bhopal,22-03-2023,31.2,19,25.7,29.1,19,25,7.8,35.1,0,0,0,,0,0,29.5,12.2,353,1009.5,58,19.7,260,22.5,10,10,2023-03-22T06:22:59,2023-03-22T18:32:09,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VABP,remote"
Bhopal,23-03-2023,32,22,27.2,29.9,22,26.3,7.5,30,0,0,0,,0,0,19.8,11.5,290.4,1008.6,36.9,24.1,256,22.1,9,10,2023-03-23T06:22:01,2023-03-23T18:32:32,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Bhopal,24-03-2023,33.9,22.6,28.5,31.8,22.6,27.5,7.7,27.7,0,0,0,,0,0,36.7,20.2,275.1,1008.1,17,24.1,285.2,24.6,10,10,2023-03-24T06:21:02,2023-03-24T18:32:55,0.08,Clear,Clear conditions throughout the day.,clear-day,
Bhopal,25-03-2023,33.6,21.1,27.8,31.3,21.1,26.8,4.9,23.7,0,0,0,,0,0,43.2,19.8,311,1009.8,4,24.1,297.4,25.7,10,10,2023-03-25T06:20:03,2023-03-25T18:33:17,0.11,Clear,Clear conditions throughout the day.,clear-day,
Bhopal,26-03-2023,34.2,22,28.4,31.9,22,27.2,4.2,21.8,0.1,0,4.17,rain,0,0,31.7,17.3,304.3,1008.3,13.9,23.8,278.1,24,10,10,2023-03-26T06:19:04,2023-03-26T18:33:40,0.15,Clear,Clear conditions throughout the day.,clear-day,
Bhopal,27-03-2023,34.1,21.6,27.9,31.5,21.6,26.8,0.5,17.5,0,0,0,,0,0,34.9,18,305.8,1008.1,0.1,24.1,305.5,26.2,10,10,2023-03-27T06:18:06,2023-03-27T18:34:02,0.18,Clear,Clear conditions throughout the day.,clear-day,
Bhopal,28-03-2023,34.2,21.4,28.1,31.6,21.4,26.8,0.5,17.8,0,0,0,,0,0,22,14,321.8,1008.6,0,24.1,307.5,27,10,10,2023-03-28T06:17:07,2023-03-28T18:34:25,0.21,Clear,Clear conditions throughout the day.,clear-day,
Bhopal,29-03-2023,36,23.2,29.9,33.2,23.2,28.5,-0.5,14.5,0,0,0,,0,0,29.3,15.2,246.5,1007.5,0.6,24.1,305.8,26.7,10,10,2023-03-29T06:16:09,2023-03-29T18:34:47,0.25,Clear,Clear conditions throughout the day.,clear-day,
Bhopal,30-03-2023,37.2,24.6,30.9,34.4,24.6,29.2,2.7,17,0,19,0,,0,0,36.7,18.4,284.4,1007.4,3.3,24.1,303.6,26.1,10,10,2023-03-30T06:15:10,2023-03-30T18:35:10,0.28,Clear,Clear conditions throughout the day.,clear-day,
Bhopal,31-03-2023,37.2,24,29.9,34.5,24,28.6,5.9,23.4,0.5,19,8.33,rain,0,0,36.7,20.9,316.8,1007.6,41.7,24.1,266.9,23.1,10,10,2023-03-31T06:14:12,2023-03-31T18:35:32,0.31,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,
Bhopal,01-04-2023,34.1,21,27.8,32,21,26.9,9.5,34.3,0.2,23.8,8.33,rain,0,0,43.2,26.3,226.3,1008.5,24.8,24.1,277.3,24,8,10,2023-04-01T06:13:14,2023-04-01T18:35:55,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Bhopal,02-04-2023,35.6,23.4,29.9,32.9,23.4,28.4,3.1,19.3,0,14.3,0,,0,0,40,20.5,271.5,1006.3,34.9,24.1,297.3,25.8,10,10,2023-04-02T06:12:16,2023-04-02T18:36:17,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Bhopal,03-04-2023,36.2,23.7,30.3,33.4,23.7,28.7,1.4,16.2,0,0,0,,0,0,40.3,24.1,229.2,1007.3,39.2,24.1,299,26.2,9,10,2023-04-03T06:11:18,2023-04-03T18:36:40,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Bhopal,04-04-2023,36.2,22.5,29.8,33.5,22.5,28.5,7.5,28.2,0,0,0,,0,0,37.1,24.8,223.7,1007.4,55.1,24.1,303.5,26.2,10,10,2023-04-04T06:10:20,2023-04-04T18:37:02,0.44,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,
Bhopal,05-04-2023,35.7,24.7,30.5,33.1,24.7,28.9,5.6,21.6,0,4.8,0,,0,0,37.1,20.2,329.2,1006.9,49.7,24.1,290,24.9,9,10,2023-04-05T06:09:23,2023-04-05T18:37:25,0.47,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,
Chennai,22-03-2023,33,27,29.5,42,30.5,34.8,24.7,76.3,1.6,100,29.17,rain,0,,28.4,27.4,159.2,1008.2,41.4,13.8,306.9,26.5,10,60,2023-03-22T06:12:03,2023-03-22T18:19:55,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,"VOMM,remote"
Chennai,23-03-2023,31.2,27.1,28.7,35.8,30.2,32.9,24.1,76.8,0.4,33.3,12.5,rain,0,,35.6,31,167.2,1008.1,27.7,24.1,304.4,26.3,10,75,2023-03-23T06:11:23,2023-03-23T18:19:59,0.05,Partially cloudy,Partly cloudy throughout the day with strong storms possible.,partly-cloudy-day,
Chennai,24-03-2023,30.4,26.8,28.5,35,29.7,32.6,24.2,78.2,3.1,28.6,33.33,rain,0,,33.5,25.2,164.6,1008.7,100,23.4,269.8,23.3,9,75,2023-03-24T06:10:43,2023-03-24T18:20:03,0.08,Overcast,Cloudy skies throughout the day.,cloudy,
Chennai,25-03-2023,30.5,27.1,28.6,34.8,30.2,32.5,23.9,76.1,0.4,4.8,16.67,rain,0,,29.2,25.9,158.7,1009.6,66.4,24,281.4,24.4,9,75,2023-03-25T06:10:03,2023-03-25T18:20:07,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Chennai,26-03-2023,31.3,26.7,28.6,35.7,26.7,32,23.4,74,0,0,0,,0,,31.3,29.5,165.4,1008.8,91.1,24.1,286.3,24.5,9,60,2023-03-26T06:09:23,2023-03-26T18:20:11,0.15,Overcast,Cloudy skies throughout the day.,cloudy,
Chennai,27-03-2023,31.2,27.1,28.9,36,30,33,23.9,74.8,0,4.8,0,,0,,36,29.9,173.1,1008.1,94.5,24.1,273.6,23.4,9,75,2023-03-27T06:08:43,2023-03-27T18:20:15,0.18,Overcast,Cloudy skies throughout the day.,cloudy,
Chennai,28-03-2023,32,27.2,29.2,36.9,29.8,33.5,23.9,73.8,0,0,0,,0,,34.6,28.1,172.3,1008.1,97.6,24.1,302.6,26.1,10,75,2023-03-28T06:08:03,2023-03-28T18:20:19,0.21,Overcast,Cloudy skies throughout the day.,cloudy,
Chennai,29-03-2023,31.7,27.1,29,36.4,30.1,33.3,23.9,74.7,0,0,0,,0,,32.5,30.6,164.8,1008.3,47.3,24.1,314,27.1,10,75,2023-03-29T06:07:23,2023-03-29T18:20:23,0.25,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,
Chennai,30-03-2023,31.5,26.7,28.7,34.6,26.7,31.7,22.6,70.4,0,0,0,,0,,33.1,28.1,163.5,1009.1,30.8,24.1,316.4,27.5,10,60,2023-03-30T06:06:43,2023-03-30T18:20:27,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Chennai,31-03-2023,31.6,26.2,28.6,33.7,26.2,30.8,21.7,66.8,0,0,0,,0,,32.6,28.8,165.5,1009.5,22,24.1,320,27.8,10,10,2023-03-31T06:06:03,2023-03-31T18:20:30,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Chennai,01-04-2023,31.8,25.9,28.6,34.5,25.9,31.2,22.5,70.2,0,0,0,,0,,32.8,31,171.9,1008.3,3.6,24.1,318.8,27.8,10,30,2023-04-01T06:05:23,2023-04-01T18:20:34,0.34,Clear,Clear conditions throughout the day.,clear-day,
Chennai,02-04-2023,31.7,26.3,28.7,34.9,26.3,31.6,22.8,71,0,14.3,0,,0,,35.3,31.7,167.8,1006.9,32.7,24.1,318.1,27.5,10,60,2023-04-02T06:04:44,2023-04-02T18:20:38,0.37,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,
Chennai,03-04-2023,31.3,26.9,28.8,35.1,29.5,32.5,23.3,72.5,0.5,28.6,12.5,rain,0,,34.6,30.6,159.6,1008.7,43.3,24.1,308,26.6,10,75,2023-04-03T06:04:04,2023-04-03T18:20:43,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Chennai,04-04-2023,30.8,27.2,28.6,34.7,29.9,32,22.9,71.3,0.2,4.8,8.33,rain,0,,25.2,28.4,153.5,1009,14.5,24.1,287.6,24.8,10,60,2023-04-04T06:03:25,2023-04-04T18:20:47,0.44,Clear,Clear conditions throughout the day.,clear-day,
Chennai,05-04-2023,31.7,26.8,28.8,35.1,29.1,32.1,22.7,70.1,0,4.8,0,,0,,29.9,29.9,165.7,1008.6,31.1,24.1,305.8,26.6,10,60,2023-04-05T06:02:46,2023-04-05T18:20:51,0.47,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,
Delhi,22-03-2023,30.5,17.6,23.6,28.8,17.6,23.2,11,49.4,0.1,4.8,4.17,rain,0,0,32.8,19.8,342.3,1009.2,2.6,24.1,254,22,9,10,2023-03-22T06:23:22,2023-03-22T18:33:23,0.02,Clear,Clear conditions throughout the day.,clear-day,remote
Delhi,23-03-2023,32.5,20.1,26.5,30.4,20.1,25.6,7.3,31.2,0,4.8,0,,0,0,21.2,15.1,301.6,1007.5,8.9,24.1,256.5,22.2,9,10,2023-03-23T06:22:12,2023-03-23T18:33:57,0.05,Clear,Clear conditions throughout the day.,clear-day,
