name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Bhopal, MP, India",2023-03-22,31.2,19,25.7,29.1,19,25,7.8,35.1,0,0,0,,0,0,29.5,12.2,353,1009.5,58,19.7,260,22.5,10,10,2023-03-22T06:22:59,2023-03-22T18:32:09,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VABP,remote"
"Bhopal, MP, India",2023-03-23,32,22,27.2,29.9,22,26.3,7.5,30,0,0,0,,0,0,19.8,11.5,290.4,1008.6,36.9,24.1,256,22.1,9,10,2023-03-23T06:22:01,2023-03-23T18:32:32,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Bhopal, MP, India",2023-03-24,33.9,22.6,28.5,31.8,22.6,27.5,7.7,27.7,0,0,0,,0,0,36.7,20.2,275.1,1008.1,17,24.1,285.2,24.6,10,10,2023-03-24T06:21:02,2023-03-24T18:32:55,0.08,Clear,Clear conditions throughout the day.,clear-day,
"Bhopal, MP, India",2023-03-25,33.6,21.1,27.8,31.3,21.1,26.8,4.9,23.7,0,0,0,,0,0,43.2,19.8,311,1009.8,4,24.1,297.4,25.7,10,10,2023-03-25T06:20:03,2023-03-25T18:33:17,0.11,Clear,Clear conditions throughout the day.,clear-day,
"Bhopal, MP, India",2023-03-26,34.2,22,28.4,31.9,22,27.2,4.2,21.8,0.1,0,4.17,rain,0,0,31.7,17.3,304.3,1008.3,13.9,23.8,278.1,24,10,10,2023-03-26T06:19:04,2023-03-26T18:33:40,0.15,Clear,Clear conditions throughout the day.,clear-day,
"Bhopal, MP, India",2023-03-27,34.1,21.6,27.9,31.5,21.6,26.8,0.5,17.5,0,0,0,,0,0,34.9,18,305.8,1008.1,0.1,24.1,305.5,26.2,10,10,2023-03-27T06:18:06,2023-03-27T18:34:02,0.18,Clear,Clear conditions throughout the day.,clear-day,
"Bhopal, MP, India",2023-03-28,34.2,21.4,28.1,31.6,21.4,26.8,0.5,17.8,0,0,0,,0,0,22,14,321.8,1008.6,0,24.1,307.5,27,10,10,2023-03-28T06:17:07,2023-03-28T18:34:25,0.21,Clear,Clear conditions throughout the day.,clear-day,
"Bhopal, MP, India",2023-03-29,36,23.2,29.9,33.2,23.2,28.5,-0.5,14.5,0,0,0,,0,0,29.3,15.2,246.5,1007.5,0.6,24.1,305.8,26.7,10,10,2023-03-29T06:16:09,2023-03-29T18:34:47,0.25,Clear,Clear conditions throughout the day.,clear-day,
"Bhopal, MP, India",2023-03-30,37.2,24.6,30.9,34.4,24.6,29.2,2.7,17,0,19,0,,0,0,36.7,18.4,284.4,1007.4,3.3,24.1,303.6,26.1,10,10,2023-03-30T06:15:10,2023-03-30T18:35:10,0.28,Clear,Clear conditions throughout the day.,clear-day,
"Bhopal, MP, India",2023-03-31,37.2,24,29.9,34.5,24,28.6,5.9,23.4,0.5,19,8.33,rain,0,0,36.7,20.9,316.8,1007.6,41.7,24.1,266.9,23.1,10,10,2023-03-31T06:14:12,2023-03-31T18:35:32,0.31,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,
"Bhopal, MP, India",2023-04-01,34.1,21,27.8,32,21,26.9,9.5,34.3,0.2,23.8,8.33,rain,0,0,43.2,26.3,226.3,1008.5,24.8,24.1,277.3,24,8,10,2023-04-01T06:13:14,2023-04-01T18:35:55,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Bhopal, MP, India",2023-04-02,35.6,23.4,29.9,32.9,23.4,28.4,3.1,19.3,0,14.3,0,,0,0,40,20.5,271.5,1006.3,34.9,24.1,297.3,25.8,10,10,2023-04-02T06:12:16,2023-04-02T18:36:17,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Bhopal, MP, India",2023-04-03,36.2,23.7,30.3,33.4,23.7,28.7,1.4,16.2,0,0,0,,0,0,40.3,24.1,229.2,1007.3,39.2,24.1,299,26.2,9,10,2023-04-03T06:11:18,2023-04-03T18:36:40,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Bhopal, MP, India",2023-04-04,36.2,22.5,29.8,33.5,22.5,28.5,7.5,28.2,0,0,0,,0,0,37.1,24.8,223.7,1007.4,55.1,24.1,303.5,26.2,10,10,2023-04-04T06:10:20,2023-04-04T18:37:02,0.44,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,
"Bhopal, MP, India",2023-04-05,35.7,24.7,30.5,33.1,24.7,28.9,5.6,21.6,0,4.8,0,,0,0,37.1,20.2,329.2,1006.9,49.7,24.1,290,24.9,9,10,2023-04-05T06:09:23,2023-04-05T18:37:25,0.47,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,
