name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Chennai, TN, India",2023-03-22,33,27,29.5,42,30.5,34.8,24.7,76.3,1.6,100,29.17,rain,0,,28.4,27.4,159.2,1008.2,41.4,13.8,306.9,26.5,10,60,2023-03-22T06:12:03,2023-03-22T18:19:55,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with storms possible.,rain,"VOMM,remote"
"Chennai, TN, India",2023-03-23,31.2,27.1,28.7,35.8,30.2,32.9,24.1,76.8,0.4,33.3,12.5,rain,0,,35.6,31,167.2,1008.1,27.7,24.1,304.4,26.3,10,75,2023-03-23T06:11:23,2023-03-23T18:19:59,0.05,Partially cloudy,Partly cloudy throughout the day with strong storms possible.,partly-cloudy-day,
"Chennai, TN, India",2023-03-24,30.4,26.8,28.5,35,29.7,32.6,24.2,78.2,3.1,28.6,33.33,rain,0,,33.5,25.2,164.6,1008.7,100,23.4,269.8,23.3,9,75,2023-03-24T06:10:43,2023-03-24T18:20:03,0.08,Overcast,Cloudy skies throughout the day.,cloudy,
"Chennai, TN, India",2023-03-25,30.5,27.1,28.6,34.8,30.2,32.5,23.9,76.1,0.4,4.8,16.67,rain,0,,29.2,25.9,158.7,1009.6,66.4,24,281.4,24.4,9,75,2023-03-25T06:10:03,2023-03-25T18:20:07,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Chennai, TN, India",2023-03-26,31.3,26.7,28.6,35.7,26.7,32,23.4,74,0,0,0,,0,,31.3,29.5,165.4,1008.8,91.1,24.1,286.3,24.5,9,60,2023-03-26T06:09:23,2023-03-26T18:20:11,0.15,Overcast,Cloudy skies throughout the day.,cloudy,
"Chennai, TN, India",2023-03-27,31.2,27.1,28.9,36,30,33,23.9,74.8,0,4.8,0,,0,,36,29.9,173.1,1008.1,94.5,24.1,273.6,23.4,9,75,2023-03-27T06:08:43,2023-03-27T18:20:15,0.18,Overcast,Cloudy skies throughout the day.,cloudy,
"Chennai, TN, India",2023-03-28,32,27.2,29.2,36.9,29.8,33.5,23.9,73.8,0,0,0,,0,,34.6,28.1,172.3,1008.1,97.6,24.1,302.6,26.1,10,75,2023-03-28T06:08:03,2023-03-28T18:20:19,0.21,Overcast,Cloudy skies throughout the day.,cloudy,
"Chennai, TN, India",2023-03-29,31.7,27.1,29,36.4,30.1,33.3,23.9,74.7,0,0,0,,0,,32.5,30.6,164.8,1008.3,47.3,24.1,314,27.1,10,75,2023-03-29T06:07:23,2023-03-29T18:20:23,0.25,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,
"Chennai, TN, India",2023-03-30,31.5,26.7,28.7,34.6,26.7,31.7,22.6,70.4,0,0,0,,0,,33.1,28.1,163.5,1009.1,30.8,24.1,316.4,27.5,10,60,2023-03-30T06:06:43,2023-03-30T18:20:27,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Chennai, TN, India",2023-03-31,31.6,26.2,28.6,33.7,26.2,30.8,21.7,66.8,0,0,0,,0,,32.6,28.8,165.5,1009.5,22,24.1,320,27.8,10,10,2023-03-31T06:06:03,2023-03-31T18:20:30,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Chennai, TN, India",2023-04-01,31.8,25.9,28.6,34.5,25.9,31.2,22.5,70.2,0,0,0,,0,,32.8,31,171.9,1008.3,3.6,24.1,318.8,27.8,10,30,2023-04-01T06:05:23,2023-04-01T18:20:34,0.34,Clear,Clear conditions throughout the day.,clear-day,
"Chennai, TN, India",2023-04-02,31.7,26.3,28.7,34.9,26.3,31.6,22.8,71,0,14.3,0,,0,,35.3,31.7,167.8,1006.9,32.7,24.1,318.1,27.5,10,60,2023-04-02T06:04:44,2023-04-02T18:20:38,0.37,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,
"Chennai, TN, India",2023-04-03,31.3,26.9,28.8,35.1,29.5,32.5,23.3,72.5,0.5,28.6,12.5,rain,0,,34.6,30.6,159.6,1008.7,43.3,24.1,308,26.6,10,75,2023-04-03T06:04:04,2023-04-03T18:20:43,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Chennai, TN, India",2023-04-04,30.8,27.2,28.6,34.7,29.9,32,22.9,71.3,0.2,4.8,8.33,rain,0,,25.2,28.4,153.5,1009,14.5,24.1,287.6,24.8,10,60,2023-04-04T06:03:25,2023-04-04T18:20:47,0.44,Clear,Clear conditions throughout the day.,clear-day,
"Chennai, TN, India",2023-04-05,31.7,26.8,28.8,35.1,29.1,32.1,22.7,70.1,0,4.8,0,,0,,29.9,29.9,165.7,1008.6,31.1,24.1,305.8,26.6,10,60,2023-04-05T06:02:46,2023-04-05T18:20:51,0.47,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,
