name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Mumbai, MH, India",2023-03-22,30,24.9,27,31.8,24.9,28.1,20.5,68.3,0,0,0,,0,,25.9,25.9,307.1,1010.1,37.1,12.1,281.2,24.3,9,10,2023-03-22T06:41:31,2023-03-22T18:50:06,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VABB,VAJJ"
"Mumbai, MH, India",2023-03-23,27,26.1,26.6,28.6,26.1,27.3,20,67.1,0,0,0,,0,,29.2,29.2,322.7,1010.3,11.8,24.1,280.9,24.2,9,10,2023-03-23T06:40:41,2023-03-23T18:50:21,0.05,Clear,Clear conditions throughout the day.,clear-day,
"Mumbai, MH, India",2023-03-24,27.3,26.2,26.8,29.3,26.2,27.6,20.3,68,0,0,0,,0,,36,32.4,332.9,1010.2,3.4,24.1,283,24.3,9,10,2023-03-24T06:39:50,2023-03-24T18:50:36,0.08,Clear,Clear conditions throughout the day.,clear-day,
"Mumbai, MH, India",2023-03-25,27,26.2,26.7,27.9,26.2,27.1,17.6,57.5,0,0,0,,0,,35.3,34.6,334.1,1010.5,0.9,24.1,288.9,25,10,10,2023-03-25T06:39:00,2023-03-25T18:50:50,0.11,Clear,Clear conditions throughout the day.,clear-day,
"Mumbai, MH, India",2023-03-26,27.3,25.6,26.5,28.6,25.6,26.9,18.1,60.3,0,0,0,,0,,24.5,24.1,319,1010.4,1.8,24.1,294,25.4,10,10,2023-03-26T06:38:09,2023-03-26T18:51:04,0.15,Clear,Clear conditions throughout the day.,clear-day,
"Mumbai, MH, India",2023-03-27,27.3,25.8,26.6,28.6,25.8,27,18.4,60.8,0,0,0,,0,,20.2,20.9,294.5,1010.1,2.9,24.1,293.5,25.2,10,10,2023-03-27T06:37:19,2023-03-27T18:51:19,0.18,Clear,Clear conditions throughout the day.,clear-day,
"Mumbai, MH, India",2023-03-28,27.4,26.3,26.9,28.9,26.3,27.7,18.9,61.6,0,0,0,,0,,27.4,26.6,296.8,1009.9,3.2,24.1,293.1,25.2,10,10,2023-03-28T06:36:28,2023-03-28T18:51:33,0.21,Clear,Clear conditions throughout the day.,clear-day,
"Mumbai, MH, India",2023-03-29,27.1,26,26.5,28.5,26,27.1,19.4,64.8,0,0,0,,0,,20.5,20.9,294.1,1009.8,3.6,24.1,293.6,25.2,10,10,2023-03-29T06:35:38,2023-03-29T18:51:47,0.25,Clear,Clear conditions throughout the day.,clear-day,
"Mumbai, MH, India",2023-03-30,27.3,25.9,26.6,28.5,25.9,27.2,18.7,62,0,0,0,,0,,19.8,19.8,292.1,1010,0.2,24.1,296,25.5,10,10,2023-03-30T06:34:48,2023-03-30T18:52:01,0.28,Clear,Clear conditions throughout the day.,clear-day,
"Mumbai, MH, India",2023-03-31,27.5,26.4,26.9,29.9,26.4,28.1,20.5,67.9,0,4.8,0,,0,,21.6,20.9,298.3,1010.5,2.7,24.1,291.5,25.2,9,30,2023-03-31T06:33:57,2023-03-31T18:52:16,0.31,Clear,Clear conditions throughout the day.,clear-day,
"Mumbai, MH, India",2023-04-01,27.4,26.5,27,29.9,26.5,28.2,20.3,67.2,0.1,9.5,4.17,rain,0,,27.7,27.7,321.9,1010.1,5.2,24.1,288.9,24.9,9,30,2023-04-01T06:33:07,2023-04-01T18:52:30,0.34,Clear,Clear conditions throughout the day.,clear-day,
"Mumbai, MH, India",2023-04-02,27.3,26.3,26.7,28.2,26.3,27.2,18.2,59.4,0,0,0,,0,,21.2,20.9,311.8,1008.9,0.6,24.1,293.5,25.2,10,10,2023-04-02T06:32:18,2023-04-02T18:52:44,0.37,Clear,Clear conditions throughout the day.,clear-day,
"Mumbai, MH, India",2023-04-03,27.7,26.1,26.9,29.9,26.1,27.8,18.3,59.7,0,0,0,,0,,23,23.8,295.5,1009.5,23.5,24.1,297,25.7,10,10,2023-04-03T06:31:28,2023-04-03T18:52:59,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Mumbai, MH, India",2023-04-04,27.9,26.7,27.2,30.2,26.7,28.9,20.4,66.3,0,0,0,,0,,23,23,297.1,1010.1,10.5,24.1,291.8,25.4,9,10,2023-04-04T06:30:38,2023-04-04T18:53:13,0.44,Clear,Clear conditions throughout the day.,clear-day,
"Mumbai, MH, India",2023-04-05,27.9,26.8,27.3,30.3,28.3,29.2,20.9,68.3,0,0,0,rain,0,,24.8,24.5,305.9,1009.5,12.2,24.1,291.9,25.4,9,10,2023-04-05T06:29:49,2023-04-05T18:53:28,0.47,Clear,Clear conditions throughout the day.,clear-day,
