name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Pune, MH, India",2023-03-22,30.1,17.2,23.1,28.5,17.2,22.8,11.9,54.1,0,0,0,,0,0,25.6,24.5,297.8,1011,34.9,24.1,297.5,25.6,10,10,2023-03-22T06:37:29,2023-03-22T18:46:00,0.02,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,remote
"Pune, MH, India",2023-03-23,31.8,17.9,24.1,29.7,17.9,23.6,11.2,49.3,0,0,0,,0,0,23,25.2,308.1,1010.7,5,24.1,301.7,26,10,10,2023-03-23T06:36:39,2023-03-23T18:46:14,0.05,Clear,Clear conditions throughout the day.,clear-day,
"Pune, MH, India",2023-03-24,32.9,19.1,25.1,30.7,19.1,24.5,12.3,50.5,0,0,0,,0,0,29.2,25.2,309,1010.4,11.8,24.1,300.9,26,10,10,2023-03-24T06:35:49,2023-03-24T18:46:28,0.08,Clear,Clear conditions throughout the day.,clear-day,
"Pune, MH, India",2023-03-25,34,20.1,25.8,31.8,20.1,25.1,9.2,37.2,0,4.8,0,,0,0,23.4,26.6,306.7,1010.6,2.9,24.1,301.4,26.1,10,10,2023-03-25T06:34:59,2023-03-25T18:46:41,0.11,Clear,Clear conditions throughout the day.,clear-day,
"Pune, MH, India",2023-03-26,33.6,19.3,25.4,31.1,19.3,24.7,7.7,37.1,0,0,0,,0,0,22,23.4,266.7,1010.4,32.5,24.1,303,26.1,10,10,2023-03-26T06:34:10,2023-03-26T18:46:55,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Pune, MH, India",2023-03-27,33.1,17.4,24.5,30.6,17.4,23.8,6.9,39.1,0,0,0,,0,0,15.1,16.6,271.3,1010.3,46.1,24.1,317,27.6,10,10,2023-03-27T06:33:20,2023-03-27T18:47:08,0.18,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
"Pune, MH, India",2023-03-28,33.8,18.7,25.2,31.3,18.7,24.5,9.9,44.1,0,0,0,,0,0,19.1,24.8,253.8,1010.5,2.4,24.1,312.9,27.3,10,10,2023-03-28T06:32:30,2023-03-28T18:47:22,0.21,Clear,Clear conditions throughout the day.,clear-day,
"Pune, MH, India",2023-03-29,33.9,18.1,25.1,31.4,18.1,24.4,9.4,43.7,0,0,0,,0,0,21.2,22,259.2,1010.4,0.8,24.1,315.6,27,10,10,2023-03-29T06:31:41,2023-03-29T18:47:35,0.25,Clear,Clear conditions throughout the day.,clear-day,
"Pune, MH, India",2023-03-30,34.7,18.7,25.6,32.1,18.7,24.8,7.5,36.2,0,0,0,,0,0,25.6,23.8,263.9,1010.4,0.8,24.1,313.6,27,10,10,2023-03-30T06:30:51,2023-03-30T18:47:49,0.28,Clear,Clear conditions throughout the day.,clear-day,
"Pune, MH, India",2023-03-31,34.4,19.2,25.8,32.1,19.2,25,9.6,40.1,0,0,0,,0,0,24.8,22,270.8,1010.7,5.7,24.1,308.5,26.4,10,10,2023-03-31T06:30:02,2023-03-31T18:48:02,0.31,Clear,Clear conditions throughout the day.,clear-day,
"Pune, MH, India",2023-04-01,31.1,19.6,25.2,29.6,19.6,24.8,13.9,53.4,0.1,0,4.17,rain,0,0,14.8,14.8,292.1,1010.5,28.7,24.1,220.8,19.2,7,10,2023-04-01T06:29:13,2023-04-01T18:48:16,0.34,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,
"Pune, MH, India",2023-04-02,32.9,19,25.2,30.8,19,24.5,9.7,41.5,0,0,0,,0,0,28.1,23,271,1008.9,13.3,24.1,290.5,24.9,9,10,2023-04-02T06:28:24,2023-04-02T18:48:29,0.37,Clear,Clear conditions throughout the day.,clear-day,
"Pune, MH, India",2023-04-03,33.5,18.1,25,31,18.1,24.2,6.7,36.5,0,0,0,,0,0,27.7,23.8,260.7,1010,34.4,24.1,315.5,27.3,10,10,2023-04-03T06:27:35,2023-04-03T18:48:43,0.41,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,
"Pune, MH, India",2023-04-04,33.8,17.6,24.8,31.3,17.6,24.1,9.7,45.7,0,4.8,0,,0,0,24.5,24.8,264.7,1010.3,0.4,24.1,315.8,27.3,10,10,2023-04-04T06:26:46,2023-04-04T18:48:57,0.44,Clear,Clear conditions throughout the day.,clear-day,
"Pune, MH, India",2023-04-05,33.8,17.7,25,31.4,17.7,24.3,11.8,50.7,0,4.8,0,,0,0,20.9,27,272.3,1009.8,2.5,24.1,311.5,26.7,10,10,2023-04-05T06:25:58,2023-04-05T18:49:10,0.47,Clear,Clear conditions throughout the day.,clear-day,
